director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title,comb
David Yates,David Yates (director); Alexander Skarsgård,Samuel L. Jackson,Margot Robbie,Fantasy Action Adventure Drama Romance,the legend of tarzan,David Yates (director); Alexander Skarsgård Samuel L. Jackson Margot Robbie David Yates Fantasy Action Adventure Drama Romance
Steven Spielberg,Mark Rylance,Ruby Barnhill,Penelope Wilton,Adventure Family Fantasy,the bfg,Mark Rylance Ruby Barnhill Penelope Wilton Steven Spielberg Adventure Family Fantasy
James DeMonaco,James DeMonaco (director); Frank Grillo,Elizabeth Mitchell,Mykelti Williamson,Action Horror Thriller,the purge: election year,James DeMonaco (director); Frank Grillo Elizabeth Mitchell Mykelti Williamson James DeMonaco Action Horror Thriller
"Chris Renaud, Yarrow Cheney",Chris Renaud,Yarrow Cheney (directors); Louis C.K.,Eric Stonestreet,Adventure Animation Comedy Family,the secret life of pets,"Chris Renaud Yarrow Cheney (directors); Louis C.K. Eric Stonestreet Chris Renaud, Yarrow Cheney Adventure Animation Comedy Family"
"Viggo Mortensen, Frank Langella, Kathryn Hahn, Steve Zahn, George MacKay, Samantha Isler, Annalise Basso, Nicholas Hamilton, Shree Crooks, Charlie Shotwell, Trin Miller, Erin Moriarty, Missi Pyle, Ann Dowd",Viggo Mortensen,Frank Langella,Kathryn Hahn,Adventure Drama,captain fantastic,"Viggo Mortensen Frank Langella Kathryn Hahn Viggo Mortensen, Frank Langella, Kathryn Hahn, Steve Zahn, George MacKay, Samantha Isler, Annalise Basso, Nicholas Hamilton, Shree Crooks, Charlie Shotwell, Trin Miller, Erin Moriarty, Missi Pyle, Ann Dowd Adventure Drama"
Jake Szymanski,Jake Szymanski (director); Zac Efron,Anna Kendrick,Adam DeVine,Comedy,mike and dave need wedding dates,Jake Szymanski (director); Zac Efron Anna Kendrick Adam DeVine Jake Szymanski Comedy
Jon Binkowski,Jon Binkowski (director); Mitchel Musso,unknown,unknown,Comedy Family,characterz,Jon Binkowski (director); Mitchel Musso unknown unknown Jon Binkowski Comedy Family
Brad Furman,Brad Furman (director); Bryan Cranston,Diane Kruger,Benjamin Bratt,Crime Drama Thriller,the infiltrator,Brad Furman (director); Bryan Cranston Diane Kruger Benjamin Bratt Brad Furman Crime Drama Thriller
Paul Feig,Paul Feig (director); Melissa McCarthy,Kristen Wiig,Kate McKinnon,Action Fantasy Comedy,ghostbusters,Paul Feig (director); Melissa McCarthy Kristen Wiig Kate McKinnon Paul Feig Action Fantasy Comedy
Justin Lin,Justin Lin (director); Chris Pine,Zachary Quinto,Karl Urban,Action Adventure Science Fiction,star trek beyond,Justin Lin (director); Chris Pine Zachary Quinto Karl Urban Justin Lin Action Adventure Science Fiction
Sam Liu,Sam Liu (director); Kevin Conroy,Mark Hamill,Tara Strong,Action Animation Crime Drama,batman: the killing joke,Sam Liu (director); Kevin Conroy Mark Hamill Tara Strong Sam Liu Action Animation Crime Drama
"Mike Thurmeier, Galen T. Chu",Mike Thurmeier,Galen T. Chu (directors); Ray Romano,John Leguizamo,Adventure Animation Family Comedy Science Fiction,ice age: collision course,"Mike Thurmeier Galen T. Chu (directors); Ray Romano John Leguizamo Mike Thurmeier, Galen T. Chu Adventure Animation Family Comedy Science Fiction"
David F. Sandberg,David F. Sandberg (director); Teresa Palmer,unknown,unknown,Horror Thriller Mystery,lights out,David F. Sandberg (director); Teresa Palmer unknown unknown David F. Sandberg Horror Thriller Mystery
"Henry Joost, Ariel Schulman",Henry Joost,Ariel Schulman (directors); Emma Roberts,Dave Franco,Mystery Adventure Crime,nerve,"Henry Joost Ariel Schulman (directors); Emma Roberts Dave Franco Henry Joost, Ariel Schulman Mystery Adventure Crime"
Paul Greengrass,Paul Greengrass (director); Matt Damon,Tommy Lee Jones,Alicia Vikander,Action Thriller,jason bourne,Paul Greengrass (director); Matt Damon Tommy Lee Jones Alicia Vikander Paul Greengrass Action Thriller
"Jon Lucas, Scott Moore",Jon Lucas,Scott Moore (directors); Mila Kunis,Kristen Bell,Comedy,bad moms,"Jon Lucas Scott Moore (directors); Mila Kunis Kristen Bell Jon Lucas, Scott Moore Comedy"
David Ayer,Will Smith,Jared Leto,Margot Robbie,Action Adventure Fantasy,suicide squad,Will Smith Jared Leto Margot Robbie David Ayer Action Adventure Fantasy
Barry Sonnenfeld,Barry Sonnenfeld (director); Kevin Spacey,Jennifer Garner,Robbie Amell,Fantasy Comedy Family,nine lives,Barry Sonnenfeld (director); Kevin Spacey Jennifer Garner Robbie Amell Barry Sonnenfeld Fantasy Comedy Family
David Lowery,Bryce Dallas Howard,Oakes Fegley,Wes Bentley,Adventure Family Fantasy,pete's dragon,Bryce Dallas Howard Oakes Fegley Wes Bentley David Lowery Adventure Family Fantasy
"Conrad Vernon, Greg Tiernan",Conrad Vernon,Greg Tiernan (directors); Seth Rogen,Kristen Wiig,Adventure Animation Comedy Fantasy,sausage party,"Conrad Vernon Greg Tiernan (directors); Seth Rogen Kristen Wiig Conrad Vernon, Greg Tiernan Adventure Animation Comedy Fantasy"
Stephen Frears,Stephen Frears (director); Meryl Streep,Hugh Grant,unknown,Comedy Drama,florence foster jenkins,Stephen Frears (director); Meryl Streep Hugh Grant unknown Stephen Frears Comedy Drama
Timur Bekmambetov,Timur Bekmambetov (director); Jack Huston,Toby Kebbell,Rodrigo Santoro,Action Drama History,ben-hur,Timur Bekmambetov (director); Jack Huston Toby Kebbell Rodrigo Santoro Timur Bekmambetov Action Drama History
Travis Knight,Travis Knight (director); Charlize Theron,Art Parkinson,Ralph Fiennes,Animation Adventure Family,kubo and the two strings,Travis Knight (director); Charlize Theron Art Parkinson Ralph Fiennes Travis Knight Animation Adventure Family
Todd Phillips,Todd Phillips (director); Jonah Hill,Miles Teller,Ana de Armas,Comedy Crime Drama,war dogs,Todd Phillips (director); Jonah Hill Miles Teller Ana de Armas Todd Phillips Comedy Crime Drama
Dennis Gansel,Dennis Gansel (director); Jason Statham,Jessica Alba,Tommy Lee Jones,Action Crime Thriller,mechanic: resurrection,Dennis Gansel (director); Jason Statham Jessica Alba Tommy Lee Jones Dennis Gansel Action Crime Thriller
Fede Alvarez,Fede Alvarez (director); Jane Levy,Dylan Minnette,Daniel Zovatto,Thriller Horror,don't breathe,Fede Alvarez (director); Jane Levy Dylan Minnette Daniel Zovatto Fede Alvarez Thriller Horror
Jonathan Jakubowicz,Jonathan Jakubowicz (director); Édgar Ramírez,Robert De Niro,Usher,Drama,hands of stone,Jonathan Jakubowicz (director); Édgar Ramírez Robert De Niro Usher Jonathan Jakubowicz Drama
Derek Cianfrance,Derek Cianfrance (director); Michael Fassbender,Alicia Vikander,Rachel Weisz,Drama Romance,the light between oceans,Derek Cianfrance (director); Michael Fassbender Alicia Vikander Rachel Weisz Derek Cianfrance Drama Romance
Luke Scott,Luke Scott (director); Kate Mara,Anya Taylor-Joy,Toby Jones,Horror Science Fiction Thriller,morgan,Luke Scott (director); Kate Mara Anya Taylor-Joy Toby Jones Luke Scott Horror Science Fiction Thriller
Clint Eastwood,Clint Eastwood (director); Tom Hanks,Aaron Eckhart,Laura Linney,Drama History,sully,Clint Eastwood (director); Tom Hanks Aaron Eckhart Laura Linney Clint Eastwood Drama History
Jon Cassar,Jon Cassar (director); Morris Chestnut,Regina Hall,Jaz Sinclair,Mystery Drama Horror,when the bough breaks,Jon Cassar (director); Morris Chestnut Regina Hall Jaz Sinclair Jon Cassar Mystery Drama Horror
"Vincent Kesteloot, Ben Stassen",Vincent Kesteloot,Ben Stassen (director); Matthias Schweighöfer,Kaya Yanar,Animation Adventure Comedy Family,robinson crusoe,"Vincent Kesteloot Ben Stassen (director); Matthias Schweighöfer Kaya Yanar Vincent Kesteloot, Ben Stassen Animation Adventure Comedy Family"
D. J. Caruso,D. J. Caruso (director); Kate Beckinsale,Mel Raido,Gerald McRaney,Horror Drama Thriller,the disappointments room,D. J. Caruso (director); Kate Beckinsale Mel Raido Gerald McRaney D. J. Caruso Horror Drama Thriller
Sharon Maguire,Sharon Maguire (director); Renée Zellweger,Colin Firth,Patrick Dempsey,Comedy Romance,bridget jones's baby,Sharon Maguire (director); Renée Zellweger Colin Firth Patrick Dempsey Sharon Maguire Comedy Romance
Oliver Stone,Oliver Stone (director); Joseph Gordon-Levitt,Shailene Woodley,Melissa Leo,Drama History Crime Thriller,snowden,Oliver Stone (director); Joseph Gordon-Levitt Shailene Woodley Melissa Leo Oliver Stone Drama History Crime Thriller
Adam Wingard,Adam Wingard (director); James Allen McCune,Callie Hernandez,Brandon Scott,Thriller Horror,blair witch,Adam Wingard (director); James Allen McCune Callie Hernandez Brandon Scott Adam Wingard Thriller Horror
Michael John Warren,Michael John Warren (director); Joel Houston,Michael Guy Chislett,unknown,Documentary,hillsong: let hope rise,Michael John Warren (director); Joel Houston Michael Guy Chislett unknown Michael John Warren Documentary
Antoine Fuqua,Antoine Fuqua (director); Denzel Washington,Chris Pratt,Ethan Hawke,Adventure Action Western,the magnificent seven,Antoine Fuqua (director); Denzel Washington Chris Pratt Ethan Hawke Antoine Fuqua Adventure Action Western
"Nicholas Stoller, Doug Sweetland",Nicholas Stoller,Doug Sweetland (directors); Andy Samberg,Katie Crown,Adventure Animation Comedy Family,storks,"Nicholas Stoller Doug Sweetland (directors); Andy Samberg Katie Crown Nicholas Stoller, Doug Sweetland Adventure Animation Comedy Family"
Tim Burton,Tim Burton (director); Eva Green,Asa Butterfield,Chris O'Dowd,Drama Fantasy Adventure Family,miss peregrine's home for peculiar children,Tim Burton (director); Eva Green Asa Butterfield Chris O'Dowd Tim Burton Drama Fantasy Adventure Family
Peter Berg,Peter Berg (director); Mark Wahlberg,Kurt Russell,John Malkovich,Drama Action,deepwater horizon,Peter Berg (director); Mark Wahlberg Kurt Russell John Malkovich Peter Berg Drama Action
Mira Nair,Mira Nair (director); Madina Nalwanga,David Oyelowo,Lupita Nyong'o,Drama,queen of katwe,Mira Nair (director); Madina Nalwanga David Oyelowo Lupita Nyong'o Mira Nair Drama
Jared Hess,Jared Hess (director); Zach Galifianakis,Owen Wilson,Kristen Wiig,Action Comedy Crime,masterminds,Jared Hess (director); Zach Galifianakis Owen Wilson Kristen Wiig Jared Hess Action Comedy Crime
Tate Taylor,Tate Taylor (director); Emily Blunt,Rebecca Ferguson,Haley Bennett,Crime Drama Mystery Thriller,the girl on the train,Tate Taylor (director); Emily Blunt Rebecca Ferguson Haley Bennett Tate Taylor Crime Drama Mystery Thriller
Nate Parker,Nate Parker (director); Nate Parker,Armie Hammer,Colman Domingo,Drama,the birth of a nation,Nate Parker (director); Nate Parker Armie Hammer Colman Domingo Nate Parker Drama
Steve Carr,Steve Carr (director); Griffin Gluck,Lauren Graham,Rob Riggle,Family Comedy,middle school: the worst years of my life,Steve Carr (director); Griffin Gluck Lauren Graham Rob Riggle Steve Carr Family Comedy
Gavin O'Connor,Gavin O'Connor (director); Ben Affleck,Anna Kendrick,J. K. Simmons,Crime Thriller Drama,the accountant,Gavin O'Connor (director); Ben Affleck Anna Kendrick J. K. Simmons Gavin O'Connor Crime Thriller Drama
Leslie Small,Leslie Small (director); Kevin Hart,unknown,unknown,Comedy,kevin hart: what now?,Leslie Small (director); Kevin Hart unknown unknown Leslie Small Comedy
Stewart Hendler,Stewart Hendler (director); Ben Winchell,Maria Bello,Ana Villafañe,Action Adventure Science Fiction,max steel,Stewart Hendler (director); Ben Winchell Maria Bello Ana Villafañe Stewart Hendler Action Adventure Science Fiction
Edward Zwick,Edward Zwick (director); Tom Cruise,Cobie Smulders,unknown,Action,jack reacher: never go back,Edward Zwick (director); Tom Cruise Cobie Smulders unknown Edward Zwick Action
Greg Mottola,Greg Mottola (director); Zach Galifianakis,Jon Hamm,Isla Fisher,Action Comedy,keeping up with the joneses,Greg Mottola (director); Zach Galifianakis Jon Hamm Isla Fisher Greg Mottola Action Comedy
